id,name,type,platform,state,description
976ec02e-ac5d-4227-acc7-008c7d6cd630,WZ_GF_193-REMES_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 12/31/2024 1:17 PM.
feac7415-9336-44d1-9500-6c2c4471104e,WZ_GF_194-REMES-OPC_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 4/21/2025 4:11 PM.
7339620d-55f6-4921-a404-f1f6ef7d5882,WZ_GF_196-REMES-Windows_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 4/21/2025 4:16 PM.
3d87908b-885c-4332-af68-bc8a25fd9d0d,WZ_GF_197-REMES-DT_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 4/21/2025 4:14 PM.
935de23a-af7e-466b-89dc-69994dac7999,WZ_GF_221-REMES-KANBAN_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 9/29/2025 1:47 PM.
ad1824da-7f5c-4418-897e-de4a5f1c37eb,WZ_GF_223-WZVC01-HUAWEI_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 4/7/2025 8:43 AM.
66510671-0ab3-468e-8484-34023966fad5,WZ_GF_224-WZVC01-SHHANA02_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:37 PM.
daf8f01b-c741-4930-9e6d-8711fed5a063,WZ_GF_225-SBU-Other_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/19/2024 2:58 PM.
e7c1534d-6b9a-49f0-8396-febc8104035a,WZ_GF_226-SBU-Another_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/6/2025 11:05 AM.
a1f990a0-bdf5-4473-b282-a63455c15fa2,WZ_GF_227-JTWL-ZZXTBasis_PRD_H_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 6/11/2024 2:11 PM.
9d31e100-e2be-4646-9740-4052b5612f5d,WZ_GF_231-WZVC01-OMS_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:23 PM.
1e0e3494-93e5-4161-bb6a-c3abb4e9ff98,WZ_GF_232-WZVC01-OMS_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:34 PM.
de667048-3a8c-40c9-80ac-8658f98ed260,WZ_GF_233-WZVC01-OMS_PRD_H_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:35 PM.
22084c55-cc1a-4e4d-a91c-5381c6e4a77c,WZ_GF_234-WZVC01-SHHANA01_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:36 PM.
167458d0-077d-4adb-845b-60bf8241f14c,WZ_GF_244-MON-ELK-NODATA_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/28/2025 8:01 AM.
e54b8524-132c-4934-9726-ecfc1d794ae1,WZ_GF_321-WZVC01-HUAWEI_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 3:05 PM.
897f78a5-6a83-4e62-8ffc-4bf0061419d8,WZ_GF_322-WZVC01-HUAWEI-OTHER_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 3:05 PM.
376e51a2-35b7-42c6-83f5-86c5ac92e073,WZ_GF_323-WZVC01-OMS_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 3:05 PM.
d3e28048-0b64-4191-bd89-d1520ebd058f,WZ_GF_343-MONITOR_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/3/2024 2:01 PM.
c0c13336-8a4a-46fc-9819-96905647f12c,WZ_GF_344-REMES_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/19/2025 8:29 AM.
88f617a6-cc05-4589-ad2f-eb48a1ac13e2,WZ_GF_355-YBWL_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/1/2025 10:47 AM.
7b556b87-ae41-4db0-9783-b2c86fbefd34,WZ_GF_361-SBU_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 4:05 PM.
76604c2f-2fb7-4db8-ba60-cb24dd6ffbc7,WZ_GF_363-JTWL-Windows_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 4:10 PM.
35794ff8-c330-4342-bb88-97f53d8e23f3,WZ_GF_364-MRO_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/3/2024 1:46 PM.
50eb350b-df7e-440f-b0ac-19b9107f687e,WZ_GF_365-WYTEST_TEST_M_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 8/12/2025 1:07 PM.
1811cf0f-7ba6-49aa-a064-105ad57c94d1,WZ_GF_422-WZVC02-CLOSE_TEST_L_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 8:20 AM.
70b388ec-04f2-4cf6-b7d8-b243aac3feb5,WZ_GF_423-MON-CLOSE_TEST_L_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 8/30/2024 12:12 PM.
d4f20064-70b1-44cb-a85e-cb82c5083faa,WZ_GF_424-MRO-CLOSE_TEST_L_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 8/30/2024 12:17 PM.
be0144d6-904e-44a7-9f1c-3eeb026bc3f0,WZ_GF_425-WL-CLOSE_TEST_L_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 2/17/2025 12:16 PM.
4fc2994a-afad-4b35-a8d0-341e9da909f5,WZ_GF_432-SBU-CLOSE_TEST_L_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 8:23 AM.
59f9a4f9-ece6-4985-985f-5fa7a6fad2d9,WZ_GF_433-REMES-CLOSE_TEST_L_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 2/17/2025 12:20 PM.
9cd530bd-d543-4ef5-a941-72fd14fed7e4,WZ_GF_434-JTWL-CLOSE_TEST_L_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 8:25 AM.
6ec42eeb-1edc-4bc8-ade0-6994d7c5197d,WZ_GF_461-WZVC01-OMS-CLOSE_TEST_L_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 8:16 AM.
84a12041-5191-4ba4-9d48-6efade2bf507,WZ_GF_462-WZVC01-HUAWEI-CLOSE_TEST_L_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 8:16 AM.
3b7aa8de-95ad-4247-af90-212594866278,WZ_GF_463-WZVC01-JTHANA-CLOSE_TEST_L_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 8:16 AM.
aadc8bce-e9cf-49e5-93db-f8b88e0e7fe7,WZ_GF_464-WZVC01-SHHANA-CLOSE_TEST_L_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/18/2024 8:16 AM.
ec44b684-8a9d-409a-9d46-e2c0ce459348,WZ_GF_501-REMES-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/12/2025 12:29 PM.
53cc9696-152a-4f2f-9fdd-1b1f4fd9715e,WZ_GF_502-API-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/12/2025 12:35 PM.
5f74327b-b366-4425-b985-c3f79fc273e3,WZ_GF_503-JTWL-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/19/2025 10:04 AM.
415d1505-a3ac-4592-bf57-246e47da510a,WZ_GF_504-SBU-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/19/2025 10:05 AM.
0f8882ab-61d0-48c6-825c-22d920833ef4,WZ_GF_505-SAP-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/19/2025 10:08 AM.
d7fff80a-aac1-479b-893f-6ab2cac62991,WZ_GF_506-WZWL-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/19/2025 10:10 AM.
46c2103a-802e-48b7-bdd8-6239d84da1a9,WZ_GF_507-MRO-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/19/2025 10:12 AM.
98a52e0b-7784-4c2f-bb82-bb3859c29786,WZ_GF_511-WZVC01-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/19/2025 10:14 AM.
1b70129c-de02-4909-a007-56fd32617334,WZ_GF_512-WZVC02-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/19/2025 10:17 AM.
6cfac8be-7143-4478-944b-26e76182a7b4,WZ_GF_513-MONITOR-Vcenter_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/19/2025 10:13 AM.
562412d7-a512-40d3-983b-3b7cd8544290,WZ_GF_521-VEEAM_PRD_H_SYS_VM_clone1,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 5/20/2025 10:23 AM.
20f0c05c-9208-4f35-94f7-d988b21e1c4e,WZ_GF_522-VEEAM_PRD_H_SYS_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/29/2025 2:53 PM.
3a92d112-f445-44f4-807d-aad31a378b2e,WZ_GF_822-JTWL-SQLServer_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/10/2024 10:34 AM.
10bf25c8-df16-45e2-b555-a9981b95ae1e,WZ_GF_823-REMES-SQLServer_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 4/21/2025 4:11 PM.
1f5b4de0-d129-49ec-9bf4-5ee8f33c473d,WZ_GF_826-API-PGSQL_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 8/5/2025 8:31 AM.
a094c9f1-6210-4422-8521-d9e195b1b592,WZ_GF_833-sbudb_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/29/2025 3:39 PM.
036cf2aa-f29f-4b62-80a8-95a46f1dd5e1,WZ_GF_834-WZVC01-omsmgr_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/31/2025 10:50 AM.
3eecbedc-8cf2-456f-b329-72127163afda,WZ_GF_835-WZVC01-wmsmgr_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/31/2025 10:52 AM.
70f9e988-5467-4a3f-b5ae-06b8db7a9991,WZ_GF_841-MRO-ELK_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/31/2025 7:59 AM.
e1739383-40ca-44f6-ac35-a8e28b38d2c1,WZ_GF_843-apimges_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 8/1/2025 1:44 PM.
7c96196e-36be-4801-b8a4-f672561335c3,WZ_GF_844-logelk_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 8/1/2025 1:52 PM.
717ad692-52c6-4033-8601-566bda7bb341,WZ_GF_861-WZVC01-FSSC_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 1/17/2024 9:16 PM.
6672576c-a7e7-4635-a59c-308ef85e8bab,WZ_GF_862-REMES-RESMESMYSQL_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/18/2025 8:20 AM.
0e1d3a72-61ba-42ca-9e1a-67d565561df1,WZ_GF_863-zzxtqmdb_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/22/2025 11:58 AM.
2804a296-6a39-4264-89da-9646c9c25fe5,WZ_GF_864-wmsmysql_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/22/2025 12:02 PM.
31bd0475-e095-4965-bab1-016b468c06ad,WZ_GF_865-logisticsmysql_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/22/2025 12:05 PM.
cc0bf103-5bed-4741-b834-fc57589d1a52,WZ_GF_866-tydbk-OMS_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/31/2025 8:59 AM.
bb8c0a41-564c-4be6-9233-63d91602e10c,WZ_GF_867-tydbk-OMS_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 7/31/2025 8:59 AM.
438a7253-af70-4e10-b1aa-f19c99369331,WZ_GF_884-SBU-PGSQL_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 8/4/2025 3:27 PM.
1fb4e07e-30c8-4d0a-94f0-85b2d4bb6330,WZ_GF_891-CS-FE-Doris_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 8/4/2025 3:36 PM.
d56dda42-a490-4c35-b042-469820251e0e,WZ_GF_892-CS-BE-Doris_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 8/4/2025 3:36 PM.
c2b1b0b2-cf34-4f23-b887-f6b07aa1049e,WZ_GF_893-DC-Doris_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 4/21/2025 4:14 PM.
5db1c929-88f6-4802-96a3-53ee47d2acf7,WZ_GF_895-Doris-Other_PRD_H_DB_VM,Backup,,,Created by JT-VEEAM-01\bak-jinxj at 11/24/2025 3:20 PM.
